fecha,y_true,y_pred,PI_lower,PI_upper
2020-10-01,42.65,175.2648035562197,134.35196883309146,216.17763827934795
2020-11-01,48.11,149.7596039489102,91.90011820833334,207.61908968948708
2020-12-01,49.02,162.65214235506602,91.78903393293972,233.5152507771923
2021-01-01,70.3,152.783252668633,70.95758322237648,234.6089221148895
2021-01-01,70.3,217.28937878814477,216.45293188430034,218.1258256919892
2021-02-01,36.82,139.97313890585832,48.48925931272974,231.45701849898688
2021-02-01,36.82,161.80795456601115,160.62504001038937,162.99086912163293
2021-03-01,52.02,125.19951856976027,24.983949567274166,225.41508757224636
2021-03-01,52.02,132.13531755857088,130.68654902327864,133.5840860938631
2021-04-01,71.54,114.60597936503227,6.360793256946778,222.85116547311776
2021-04-01,71.54,146.06815860917268,144.39526480148385,147.74105241686152
2021-04-01,71.54,142.23390957026155,139.57758881437303,144.89023032615006
2021-05-01,74.05,87.39879322421616,-28.32017825693758,203.1177647053699
2021-05-01,74.05,89.80342510802055,87.93307297145519,91.6737772445859
2021-05-01,74.05,88.5995676705112,84.84296283152052,92.35617250950189
2021-06-01,87.23,143.21729766294092,141.16842955159126,145.26616577429058
2021-06-01,87.23,142.6673087205389,138.06642621014024,147.26819123093756
2021-06-01,87.23,143.77467080324237,21.036166633857604,266.51317497262716
2021-07-01,96.41,102.38501369983791,101.4857569608896,103.28427043878622
2021-07-01,96.41,102.80857580893645,100.59554531645416,105.02160630141874
2021-07-01,96.41,103.22440575304944,-26.15333750606021,232.6021490121591
2021-07-01,96.41,102.9412347088411,97.62859319706408,108.25387622061811
2021-08-01,111.34,86.24701922108426,80.30730544087392,92.1867330012946
2021-08-01,111.34,85.25093814720543,83.97919707092933,86.52267922348153
2021-08-01,111.34,85.28407906810713,82.9182499568636,87.64990817935066
2021-08-01,111.34,85.4805790417965,-50.21194284464387,221.17310092823686
2021-09-01,160.71,84.34713503460604,77.84050458951508,90.853765479697
2021-09-01,160.71,84.03472656698077,82.4771682060736,85.59228492788793
2021-09-01,160.71,84.63739395058565,82.12805323905238,87.14673466211892
2021-09-01,160.71,84.7920268299461,-56.93419001430651,226.5182436741987
2021-10-01,209.29,101.61089314960178,99.81237967170517,103.40940662749838
2021-10-01,209.29,101.4905732247372,94.4626091022371,108.51853734723731
2021-10-01,209.29,102.14793982387229,101.21159912944563,103.08428051829895
2021-10-01,209.29,102.68928690799711,100.0442095500529,105.33436426594133
2021-10-01,209.29,102.63251625409838,-44.88080716472409,250.14583967292083
2021-11-01,203.8,98.23482868591275,95.46064814880631,101.00900922301918
2021-11-01,203.8,98.41537320875065,-54.66643704690358,251.49718346440488
2021-11-01,203.8,99.6988719119623,97.6880727144491,101.7096711094755
2021-11-01,203.8,100.47713248003953,92.96392280205816,107.9903421580209
2021-11-01,203.8,98.40588226639784,97.0816965573378,99.73006797545787
2021-12-01,252.19,105.76918763587743,103.5664674776949,107.97190779405996
2021-12-01,252.19,104.44758905301661,101.55005198243218,107.34512612360105
2021-12-01,252.19,107.23165175362888,99.26268948596335,115.20061402129441
2021-12-01,252.19,104.52931039939257,102.90752074345126,106.15110005533388
2021-12-01,252.19,104.66131906526125,-53.79340846355102,263.1160465940735
2022-01-01,210.07,113.35499017316945,-50.29634871934357,277.0063290656825
2022-01-01,210.07,112.4340056598472,110.56132427099386,114.30668704870054
2022-01-01,210.07,112.25541101918452,103.8553872345967,120.65543480377234
2022-01-01,210.07,112.75414011181195,110.3749304157558,115.1333498078681
2022-01-01,210.07,112.98517399373668,109.96932179272252,116.00102619475084
2022-02-01,205.9,104.32740097351663,102.23367953067924,106.42112241635402
2022-02-01,205.9,104.15175013435558,101.6082679818034,106.69523228690777
2022-02-01,205.9,102.15525416292404,93.3452348928086,110.96527343303947
2022-02-01,205.9,104.99440086069123,101.86470312427755,108.1240985971049
2022-02-01,205.9,105.57377254555746,-63.114166461338215,274.2617115524531
2022-03-01,294.53,80.1331521045332,77.43538188768828,82.83092232137811
2022-03-01,294.53,80.50500901455821,77.26546408598202,83.7445539431344
2022-03-01,294.53,81.32668192271169,-92.2517752990189,254.90513914444227
2022-03-01,294.53,78.26281026122892,69.0610452404316,87.46457528202625
2022-03-01,294.53,80.26959793681391,77.9760410100653,82.56315486356252
2022-04-01,203.03,85.64868828185077,82.30290066647308,88.99447589722845
2022-04-01,203.03,86.2285276342452,-92.10638441765276,264.56343968614317
2022-04-01,203.03,84.13955708780256,74.56205639836728,93.71705777723784
2022-04-01,203.03,85.70182285768905,82.85812336135696,88.54552235402114
2022-04-01,203.03,85.4820096668671,83.00468504698462,87.95933428674958
2022-05-01,195.75,85.49353939294362,82.04478045817221,88.94229832771502
2022-05-01,195.75,84.29091486522132,74.35187268731013,94.22995704313252
2022-05-01,195.75,86.1001337996733,-96.86762538658385,269.0678929859305
2022-05-01,195.75,85.55990926468934,82.91153784656926,88.20828068280942
2022-05-01,195.75,85.42579140421753,82.44329421092743,88.40828859750764
2022-06-01,203.27,50.83921248436748,-136.6469495295854,238.32537449832034
2022-06-01,203.27,50.35034311250808,47.23522639069375,53.46545983432241
2022-06-01,203.27,50.25954278930457,47.45052070602456,53.068564872584574
2022-06-01,203.27,49.60581645551565,39.31793040577435,59.893702505256954
2022-06-01,203.27,49.99288350862338,46.44413984175809,53.54162717548867
2022-07-01,216.52,33.714118018420734,30.753148758128734,36.67508727871274
2022-07-01,216.52,33.64228624196915,29.996298716473834,37.28827376746447
2022-07-01,216.52,34.539577942514306,-157.3586268218977,226.43778270692633
2022-07-01,216.52,32.58708143928706,21.96179841573302,43.2123644628411
2022-07-01,216.52,34.09132171358472,30.849005431500068,37.33363799566937
2022-08-01,250.89,31.601585421832773,27.86088114870206,35.34228969496348
2022-08-01,250.89,30.877089206862042,27.51237858696987,34.24179982675422
2022-08-01,250.89,32.38899780358836,-163.82206466967335,228.60006027685006
2022-08-01,250.89,28.991114255292914,18.03882320324404,39.94340530734179
2022-08-01,250.89,30.891629706336285,27.786138946982206,33.997120465690365
2022-09-01,216.27,44.65514952878218,40.822068277103675,48.48823078046069
2022-09-01,216.27,43.02703059118356,31.757216074211513,54.29684510815561
2022-09-01,216.27,45.076361425319604,-155.3547765796526,245.50749943029183
2022-09-01,216.27,44.122093937012885,40.87851462513026,47.36567324889551
2022-09-01,216.27,44.51818662551427,41.03538025160269,48.00099299942585
2022-10-01,161.29,68.60617805280465,65.00915109701143,72.20320500859788
2022-10-01,161.29,67.99425325995959,64.07096951991221,71.91753700000697
2022-10-01,161.29,,,
2022-10-01,161.29,67.92066846945222,64.54464408439331,71.29669285451114
2022-10-01,161.29,68.8116808810132,57.23304714446561,80.39031461756079
2022-11-01,131.9,81.55194115181703,77.84421063258468,85.25967167104939
2022-11-01,131.9,79.76491912321427,75.75346069417986,83.77637755224868
2022-11-01,131.9,,,
2022-11-01,131.9,80.03226062225453,76.52879454641594,83.53572669809311
2022-11-01,131.9,83.25317516043955,71.37374760001889,95.13260272086022
2022-12-01,145.96,100.83502859196636,88.66223765802495,113.00781952590778
2022-12-01,145.96,100.4363147726985,96.62109154387021,104.25153800152678
2022-12-01,145.96,99.47426043018925,95.37652420748994,103.57199665288856
2022-12-01,145.96,,,
2022-12-01,145.96,99.58198068202331,95.95554876613254,103.20841259791409
2023-01-01,89.68,83.4957584023051,79.75039562459843,87.24112118001177
2023-01-01,89.68,84.11431975833436,80.19455050896076,88.03408900770796
2023-01-01,89.68,83.79871444962671,71.33946571306116,96.25796318619227
2023-01-01,89.68,,,
2023-01-01,89.68,,,
2023-02-01,142.91,83.9756707288128,79.95407233378641,87.99726912383919
2023-02-01,142.91,84.43354247809272,80.57291089340738,88.29417406277805
2023-02-01,142.91,81.74446826113933,69.00520144401935,94.48373507825931
2023-02-01,142.91,,,
2023-02-01,142.91,,,
2023-03-01,102.79,116.52514140055779,103.51188051037586,129.53840229073973
2023-03-01,102.79,,,
2023-03-01,102.79,118.73090191383777,114.60998983840801,122.85181398926753
2023-03-01,102.79,118.64347848384145,114.67092135666134,122.61603561102156
2023-03-01,102.79,,,
2023-04-01,84.87,,,
2023-04-01,84.87,125.80300887369026,121.5851208931997,130.02089685418082
2023-04-01,84.87,,,
2023-04-01,84.87,124.84912611445495,120.76771165072441,128.9305405781855
2023-04-01,84.87,,,
2023-05-01,84.26,,,
2023-05-01,84.26,,,
2023-05-01,84.26,111.38370267895314,107.19625979327836,115.57114556462793
2023-05-01,84.26,,,
2023-05-01,84.26,112.63309353517595,108.32040971897626,116.94577735137563
2023-06-01,101.98,126.33746890983059,122.04661680135287,130.62832101830833
2023-06-01,101.98,125.82409988980108,121.41865957343603,130.22954020616612
2023-06-01,101.98,,,
2023-06-01,101.98,,,
2023-06-01,101.98,,,
2023-07-01,98.59,,,
2023-07-01,98.59,70.70150142018045,66.30967427047759,75.09332856988331
2023-07-01,98.59,,,
2023-07-01,98.59,,,
2023-07-01,98.59,,,
2023-08-01,104.6,,,
2023-08-01,104.6,46.69584129414541,42.205309075253474,51.186373513037346
2023-08-01,104.6,,,
2023-08-01,104.6,,,
2023-08-01,104.6,,,
2023-09-01,112.41,,,
2023-09-01,112.41,,,
2023-09-01,112.41,41.450019288216716,36.86290543471951,46.03713314171392
2023-09-01,112.41,,,
2023-09-01,112.41,,,
2023-10-01,104.3,,,
2023-10-01,104.3,,,
2023-10-01,104.3,,,
2023-10-01,104.3,,,
2023-10-01,104.3,,,
2023-11-01,80.3,,,
2023-11-01,80.3,,,
2023-11-01,80.3,,,
2023-11-01,80.3,,,
2023-11-01,80.3,,,
2023-12-01,85.38,,,
2023-12-01,85.38,,,
2023-12-01,85.38,,,
2023-12-01,85.38,,,
2023-12-01,85.38,,,
2024-01-01,85.73,,,
2024-01-01,85.73,,,
2024-01-01,85.73,,,
2024-01-01,85.73,,,
2024-01-01,85.73,,,
2024-02-01,50.48,,,
2024-02-01,50.48,,,
2024-02-01,50.48,,,
2024-02-01,50.48,,,
2024-02-01,50.48,,,
2024-03-01,34.19,,,
2024-03-01,34.19,,,
2024-03-01,34.19,,,
2024-03-01,34.19,,,
2024-03-01,34.19,,,
2024-04-01,31.25,,,
2024-04-01,31.25,,,
2024-04-01,31.25,,,
2024-04-01,31.25,,,
2024-04-01,31.25,,,
2024-05-01,44.44,,,
2024-05-01,44.44,,,
2024-05-01,44.44,,,
2024-05-01,44.44,,,
2024-05-01,44.44,,,
2024-06-01,68.36,,,
2024-06-01,68.36,,,
2024-06-01,68.36,,,
2024-06-01,68.36,,,
2024-07-01,81.07,,,
2024-07-01,81.07,,,
2024-07-01,81.07,,,
2024-07-01,81.07,,,
2024-08-01,100.11,,,
2024-08-01,100.11,,,
2024-08-01,100.11,,,
2024-08-01,100.11,,,
2024-09-01,83.87,,,
2024-09-01,83.87,,,
2024-09-01,83.87,,,
2024-10-01,84.63,,,
2024-10-01,84.63,,,
2024-10-01,84.63,,,
2024-11-01,119.25,,,
2024-11-01,119.25,,,
2024-11-01,119.25,,,
2024-12-01,125.54,,,
2024-12-01,125.54,,,
2025-01-01,112.08,,,
2025-01-01,112.08,,,
2025-02-01,127.25,,,
2025-02-01,127.25,,,
2025-03-01,71.51,,,
2025-04-01,47.62,,,
2025-05-01,44.13,,,
